,country,date,cases,population,density,size
5843,Sudan,2020-02-10,0,43849.269,24.8430971923001,1765048.4020000007
5844,Sudan,2020-02-11,0,43849.269,24.8430971923001,1765048.4020000007
5845,Sudan,2020-02-12,0,43849.269,24.8430971923001,1765048.4020000007
5846,Sudan,2020-02-13,0,43849.269,24.8430971923001,1765048.4020000007
5847,Sudan,2020-02-14,0,43849.269,24.8430971923001,1765048.4020000007
5848,Sudan,2020-02-15,0,43849.269,24.8430971923001,1765048.4020000007
5849,Sudan,2020-02-16,0,43849.269,24.8430971923001,1765048.4020000007
5850,Sudan,2020-02-17,0,43849.269,24.8430971923001,1765048.4020000007
5851,Sudan,2020-02-18,0,43849.269,24.8430971923001,1765048.4020000007
5852,Sudan,2020-02-19,0,43849.269,24.8430971923001,1765048.4020000007
5853,Sudan,2020-02-20,0,43849.269,24.8430971923001,1765048.4020000007
5854,Sudan,2020-02-21,0,43849.269,24.8430971923001,1765048.4020000007
5855,Sudan,2020-02-22,0,43849.269,24.8430971923001,1765048.4020000007
5856,Sudan,2020-02-23,0,43849.269,24.8430971923001,1765048.4020000007
5857,Sudan,2020-02-24,0,43849.269,24.8430971923001,1765048.4020000007
5858,Sudan,2020-02-25,0,43849.269,24.8430971923001,1765048.4020000007
5859,Sudan,2020-02-26,0,43849.269,24.8430971923001,1765048.4020000007
5860,Sudan,2020-02-27,0,43849.269,24.8430971923001,1765048.4020000007
5861,Sudan,2020-02-28,0,43849.269,24.8430971923001,1765048.4020000007
5862,Sudan,2020-02-29,0,43849.269,24.8430971923001,1765048.4020000007
5863,Sudan,2020-03-01,0,43849.269,24.8430971923001,1765048.4020000007
5864,Sudan,2020-03-02,0,43849.269,24.8430971923001,1765048.4020000007
5865,Sudan,2020-03-03,0,43849.269,24.8430971923001,1765048.4020000007
5866,Sudan,2020-03-04,0,43849.269,24.8430971923001,1765048.4020000007
5867,Sudan,2020-03-05,0,43849.269,24.8430971923001,1765048.4020000007
5868,Sudan,2020-03-06,0,43849.269,24.8430971923001,1765048.4020000007
5869,Sudan,2020-03-07,0,43849.269,24.8430971923001,1765048.4020000007
5870,Sudan,2020-03-08,0,43849.269,24.8430971923001,1765048.4020000007
5871,Sudan,2020-03-09,0,43849.269,24.8430971923001,1765048.4020000007
5872,Sudan,2020-03-10,0,43849.269,24.8430971923001,1765048.4020000007
5873,Sudan,2020-03-11,0,43849.269,24.8430971923001,1765048.4020000007
5874,Sudan,2020-03-12,0,43849.269,24.8430971923001,1765048.4020000007
5875,Sudan,2020-03-13,1,43849.269,24.8430971923001,1765048.4020000007
5876,Sweden,2020-01-22,0,10099.27,24.6119559389774,410340.0000000006
5877,Sweden,2020-01-23,0,10099.27,24.6119559389774,410340.0000000006
5878,Sweden,2020-01-24,0,10099.27,24.6119559389774,410340.0000000006
5879,Sweden,2020-01-25,0,10099.27,24.6119559389774,410340.0000000006
5880,Sweden,2020-01-26,0,10099.27,24.6119559389774,410340.0000000006
5881,Sweden,2020-01-27,0,10099.27,24.6119559389774,410340.0000000006
5882,Sweden,2020-01-28,0,10099.27,24.6119559389774,410340.0000000006
5883,Sweden,2020-01-29,0,10099.27,24.6119559389774,410340.0000000006
5884,Sweden,2020-01-30,0,10099.27,24.6119559389774,410340.0000000006
5885,Sweden,2020-01-31,1,10099.27,24.6119559389774,410340.0000000006
5886,Sweden,2020-02-01,1,10099.27,24.6119559389774,410340.0000000006
5887,Sweden,2020-02-02,1,10099.27,24.6119559389774,410340.0000000006
5888,Sweden,2020-02-03,1,10099.27,24.6119559389774,410340.0000000006
5889,Sweden,2020-02-04,1,10099.27,24.6119559389774,410340.0000000006
5890,Sweden,2020-02-05,1,10099.27,24.6119559389774,410340.0000000006
5891,Sweden,2020-02-06,1,10099.27,24.6119559389774,410340.0000000006
5892,Sweden,2020-02-07,1,10099.27,24.6119559389774,410340.0000000006
5893,Sweden,2020-02-08,1,10099.27,24.6119559389774,410340.0000000006
5894,Sweden,2020-02-09,1,10099.27,24.6119559389774,410340.0000000006
5895,Sweden,2020-02-10,1,10099.27,24.6119559389774,410340.0000000006
5896,Sweden,2020-02-11,1,10099.27,24.6119559389774,410340.0000000006
5897,Sweden,2020-02-12,1,10099.27,24.6119559389774,410340.0000000006
5898,Sweden,2020-02-13,1,10099.27,24.6119559389774,410340.0000000006
5899,Sweden,2020-02-14,1,10099.27,24.6119559389774,410340.0000000006
5900,Sweden,2020-02-15,1,10099.27,24.6119559389774,410340.0000000006
5901,Sweden,2020-02-16,1,10099.27,24.6119559389774,410340.0000000006
5902,Sweden,2020-02-17,1,10099.27,24.6119559389774,410340.0000000006
5903,Sweden,2020-02-18,1,10099.27,24.6119559389774,410340.0000000006
5904,Sweden,2020-02-19,1,10099.27,24.6119559389774,410340.0000000006
5905,Sweden,2020-02-20,1,10099.27,24.6119559389774,410340.0000000006
5906,Sweden,2020-02-21,1,10099.27,24.6119559389774,410340.0000000006
5907,Sweden,2020-02-22,1,10099.27,24.6119559389774,410340.0000000006
5908,Sweden,2020-02-23,1,10099.27,24.6119559389774,410340.0000000006
5909,Sweden,2020-02-24,1,10099.27,24.6119559389774,410340.0000000006
5910,Sweden,2020-02-25,1,10099.27,24.6119559389774,410340.0000000006
5911,Sweden,2020-02-26,2,10099.27,24.6119559389774,410340.0000000006
5912,Sweden,2020-02-27,7,10099.27,24.6119559389774,410340.0000000006
5913,Sweden,2020-02-28,7,10099.27,24.6119559389774,410340.0000000006
5914,Sweden,2020-02-29,12,10099.27,24.6119559389774,410340.0000000006
5915,Sweden,2020-03-01,14,10099.27,24.6119559389774,410340.0000000006
5916,Sweden,2020-03-02,15,10099.27,24.6119559389774,410340.0000000006
